"","Site","date","days_total","days_to_reach","active_days","days_to.return","target_volume","elasmo_volume","target_income","elasmo_income","investment","target_group"
"345","Kochi","16-04-2025",46,"",40,"",4827,411,864014,72018,450015,"Others"
"336","Kakinada","45726",31,"1",19,"1",3015,18,325018,14,163121," Others "
"348","Kakinada","45733",42,"3",26,"",4708,12,480018,16,286421,"Others"
"357","Kakinada","45842",32,"1",30,"",3610,13,385020,11,288162,"Others"
"263","Kakinada","45555",46,"4",23,"3",5817,18,612017,19,443419," Others "
"244","Kakinada","45513",29,"3hrs",22,"5hrs",4318,18,409218,804,253220," Others "
"209","Kakinada","45331",40,"1",30,"1",5021,12,490014,14,169815," Others "
"231","Kakinada","45372",49,"3",33,"2",5867,274,516015,34012,403620," Others "
"91","Kochi","26-03-2024",58,"9",47,"9",16022,511,2800012,110010,1300018," Others "
"11","Kochi","16-10-2023",42,"3",26,"3",10016,611,2000021,132017,900013," Others+Shark "
"123","Kochi","23-09-2024",36,"8",38,"8",15711,2072,2355024,307518,500020," Others "
"102","Kochi","07-05-2024",29,"4",26,"4",5174,1356,1028809,294815,80020," Others+Shark "
"72","Kochi","23-08-2023",24,"3",16,"3",5813,323,1004009,30010,282020," Others "
"116","Kochi","02-09-2024",53,"5",38,"5",8621,537,1290024,78012,500013," Others+Shark "
"211","Kakinada","45336",24,"1",31,"1",3217,19,315025,16,107614," Others "
"55","Kochi","18-05-2023",25,"2",23,"2",216,17,44023,15,192906," Others "
"339","Kakinada","13-03-2025",28,"6 hrs",26,"12 hrs",2016,19,239116,915,185998," Others "
"155","Kochi","06-02-2025",53,"4",33,"4",186,8022,24005,1200018,400015," Sharks "
"39","Kochi","22-12-2023",39,"4",31,"3",5525,2661,1000011,465616,500016," Others+Shark "
"77","Kochi","14-09-2023",30,"3",16,"2",1011,510,190013,110013,189769," Others "
"212","Kakinada","45337",45,"4",29,"3",5620,16,545022,17,386217," Others "
"266","Kakinada","45558",19,"10hrs",26,"12hrs",1108,14,355014,18,213841," Others "
"156","Kochi","07-02-2025",52,"6",30,"6",5023,1516,750020,225022,500016," Sharks "
"286","Kakinada","45618",42,"2",32,"2",4114,115,411015,9014,233558," Others "
"168","Kakinada","45149",31,"1",26,"1",2614,24,180011,20,285219," Others "
"37","Kochi","22-12-2023",42,"4",31,"4",517,3014,100011,660015,500027," Others+Shark "
