X,date,month,month2,year,dmy,type,c_name,sc_name,Family,red_list,sex,clasper_stage,TL,gravid_F
6006,14,12,Dec,2021,14-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,144.239096,
1652,8,3,Mar,2021,08-03-2021,R,Blotched Fantail Ray,Taeniurops meyeni,Dasyatidae,VU,F,NA,102.3352286,
4524,31,8,Aug,2021,31-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,117.4780564,
12625,17,11,Nov,2022,17-11-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,F,NA,292.0566736,
509,3,2,Feb,2021,03-02-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,247.2248142,
12183,9,11,Nov,2022,09-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,96.11379623,
13193,30,11,Nov,2022,30-11-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,1,122.1786935,
13789,16,12,Dec,2022,16-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,212.0291729,
3167,3,9,Sep,2021,03-09-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,2,232.3877948,
14556,23,8,Aug,2022,23-08-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,172.6318491,
13343,23,11,Nov,2022,23-11-2022,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,M,1,102.515679,
999,16,2,Feb,2021,16-02-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,115.1575759,
8066,16,2,Feb,2022,16-02-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,1,139.0078411,
19124,20,1,Jan,2023,20-01-2023,R,Blotched Fantail Ray,Taeniurops meyeni,Dasyatidae,VU,F,NA,127.1928958,
10681,7,4,Apr,2022,07-04-2022,S,Dusky Shark,Carcharhinus obscurus,Carcharhinidae,EN,F,NA,314.8218668,
17944,15,12,Dec,2022,15-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,133.6373301,
13590,5,12,Dec,2022,05-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,138.0425219,
4346,24,8,Aug,2021,24-08-2021,S,Unknown,Unknown,#N/A,NA,F,NA,53.85786946,
15744,17,10,Oct,2022,17-10-2022,S,Spinner Shark,Carcharhinus brevipinna,Carcharhinidae,VU,F,NA,229.1230229,
15419,3,10,Oct,2022,03-10-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,115.5559189,
7413,9,2,Feb,2022,09-02-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,246.7498423,
13208,30,11,Nov,2022,30-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,286.7886841,
19225,24,1,Jan,2023,24-01-2023,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,213.4572398,
4801,3,11,Nov,2021,03-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,143.5929691,
6320,20,12,Dec,2021,20-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,95.35041738,
6406,22,12,Dec,2021,22-12-2021,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,230.5819016,
7810,11,2,Feb,2022,11-02-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,F,NA,200.3455458,
19727,6,2,Feb,2023,06-02-2023,R,Sicklefin Devil Ray,Mobula tarapacana,Mobulidae,EN,M,3,342.4893268,
1522,1,3,Mar,2021,01-03-2021,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,M,2,145.4517607,
5870,13,12,Dec,2021,13-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,133.7221841,
15050,19,9,Sep,2022,19-09-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,261.3663598,
6999,17,1,Jan,2022,17-01-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,134.7554807,
12599,17,11,Nov,2022,17-11-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,F,NA,157.889761,
